question,question_type,answer,ambiguous,object_ids,room_ids,uid,origin,kwargs
Is there an office in the house?,existence_room,yes,False,[],[3],117f8bad-b255-47a6-81b7-ae8df299e599,template,"{'colour': '', 'entity': 'an office', 'location': 'house'}"
Is there a living room in the house?,existence_room,yes,False,[],[7],8e9f6804-2cb3-4639-8bda-495f2a5665bb,template,"{'colour': '', 'entity': 'a living room', 'location': 'house'}"
Is there a hallway in the house?,existence_room,yes,False,[],[12],f2b9dbf5-9f3e-426b-b185-3da4442b4439,template,"{'colour': '', 'entity': 'a hallway', 'location': 'house'}"
Is there an elevator in the house?,existence_room,no,False,[],[],f5ea4c2a-cf40-40b7-b89f-5e6d5b2f214d,template,"{'colour': '', 'entity': 'an elevator', 'location': 'house'}"
Is there a patio in the house?,existence_room,no,False,[],[],ace74d4a-8ff5-4acf-810e-08550aa25743,template,"{'colour': '', 'entity': 'a patio', 'location': 'house'}"
Is there a dining room in the house?,existence_room,no,False,[],[],607fe0d4-e4d8-40eb-a62e-20419ae279a0,template,"{'colour': '', 'entity': 'a dining room', 'location': 'house'}"
How many offices are there in the house?,count_room,1,False,[],[3],8beb2c70-5dc0-48cc-ad82-efd064276015,template,"{'colour': '', 'entity': 'offices', 'location': 'house'}"
How many living rooms are there in the house?,count_room,1,False,[],[7],c6ffa851-2f62-4359-8955-6b3f4cf9c6d8,template,"{'colour': '', 'entity': 'living rooms', 'location': 'house'}"
How many hallways are there in the house?,count_room,1,False,[],[12],916a7e7f-10e9-40f1-ab22-78860e400dd3,template,"{'colour': '', 'entity': 'hallways', 'location': 'house'}"
How many elevators are there in the house?,count_room,0,False,[],[],9f1632e3-a20e-4264-94ce-a102f5f138ff,template,"{'colour': '', 'entity': 'elevators', 'location': 'house'}"
How many patios are there in the house?,count_room,0,False,[],[],d44548b0-1cd0-4d4e-85fc-58b9132055a3,template,"{'colour': '', 'entity': 'patios', 'location': 'house'}"
