question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.3958115183246073,0.42879581151832463,0.3994764397905759
colour_location,0.4166666666666667,0.4166666666666667,0.7708333333333334
colour_object,0.4838709677419355,0.4838709677419355,0.8064516129032258
conjunction_colour,0.6590909090909091,0.6477272727272727,0.14772727272727273
conjunction_colour_location,0.6097560975609756,0.6341463414634146,0.10975609756097561
conjunction_location,0.5714285714285714,0.5714285714285714,0.26785714285714285
conjunction_object,0.4791666666666667,0.4791666666666667,0.2916666666666667
count_colour,0.05357142857142857,0.08928571428571429,0.10714285714285714
count_colour_location,0.10810810810810811,0.13513513513513514,0.06756756756756757
count_location,0.11458333333333333,0.14583333333333334,0.17708333333333334
count_object,0.06451612903225806,0.12903225806451613,0.1774193548387097
disjunction_colour,0.6022727272727273,0.6022727272727273,0.3068181818181818
disjunction_colour_location,0.5853658536585366,0.5853658536585366,0.2682926829268293
disjunction_location,0.5535714285714286,0.5535714285714286,0.32142857142857145
disjunction_object,0.6041666666666666,0.6041666666666666,0.4166666666666667
existence_colour,0.6071428571428571,0.6339285714285714,0.44642857142857145
existence_colour_location,0.5743243243243243,0.6283783783783784,0.30405405405405406
existence_location,0.6979166666666666,0.6875,0.5
existence_object,0.5806451612903226,0.5967741935483871,0.41935483870967744
location_colour,0.17857142857142858,0.21428571428571427,0.875
location_object,0.1935483870967742,0.22580645161290322,0.967741935483871
spatial_colour,0.2604166666666667,0.3125,0.7604166666666666
spatial_colour_location,0.24793388429752067,0.36363636363636365,0.7272727272727273
spatial_location,0.25609756097560976,0.36585365853658536,0.7317073170731707
spatial_object,0.19672131147540983,0.2786885245901639,0.7213114754098361
