question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.4162303664921466,0.4570680628272251,0.5329842931937173
colour_location,0.5208333333333334,0.5,0.75
colour_object,0.7096774193548387,0.7096774193548387,0.8709677419354839
conjunction_colour,0.6477272727272727,0.6477272727272727,0.48863636363636365
conjunction_colour_location,0.6097560975609756,0.6097560975609756,0.4268292682926829
conjunction_location,0.7857142857142857,0.8035714285714286,0.5535714285714286
conjunction_object,0.6458333333333334,0.6666666666666666,0.6875
count_colour,0.044642857142857144,0.07142857142857142,0.09821428571428571
count_colour_location,0.10135135135135136,0.13513513513513514,0.14189189189189189
count_location,0.07291666666666667,0.08333333333333333,0.125
count_object,0.03225806451612903,0.04838709677419355,0.14516129032258066
disjunction_colour,0.5,0.5227272727272727,0.4659090909090909
disjunction_colour_location,0.5121951219512195,0.524390243902439,0.43902439024390244
disjunction_location,0.48214285714285715,0.48214285714285715,0.48214285714285715
disjunction_object,0.5208333333333334,0.5416666666666666,0.4583333333333333
existence_colour,0.7232142857142857,0.75,0.6428571428571429
existence_colour_location,0.6486486486486487,0.6756756756756757,0.581081081081081
existence_location,0.7604166666666666,0.7604166666666666,0.7083333333333334
existence_object,0.6290322580645161,0.6290322580645161,0.7258064516129032
location_colour,0.08928571428571429,0.21428571428571427,0.9642857142857143
location_object,0.3225806451612903,0.3548387096774194,1.0
spatial_colour,0.2916666666666667,0.3958333333333333,0.7916666666666666
spatial_colour_location,0.2231404958677686,0.371900826446281,0.7603305785123967
spatial_location,0.3048780487804878,0.43902439024390244,0.7804878048780488
spatial_object,0.2459016393442623,0.39344262295081966,0.7540983606557377
