uid,question,question_type,answer,object_ids,ambiguous,slot_values
db48f173-2d80-4ddf-8239-69d2e42cfdf8,Is there a bag and a box in the house?,conjunction,yes,"[[5, 4, 2, 3, 6], [11]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a box', 'location': 'house'}"
3e199641-c3b0-404f-aa41-2b93c20fcd10,Is there a bag and a cup in the house?,conjunction,yes,"[[5, 4, 2, 3, 6], [20, 19]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a cup', 'location': 'house'}"
a902598d-6d8c-4f38-be38-38939cd8fd8b,Is there a bag and a wine glass in the house?,conjunction,yes,"[[5, 4, 2, 3, 6], [89]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a wine_glass', 'location': 'house'}"
2338908e-1e11-4151-92f8-7c5b33b7546f,Is there a box and a cup in the house?,conjunction,yes,"[[11], [20, 19]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a cup', 'location': 'house'}"
3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,Is there a box and a wine glass in the house?,conjunction,yes,"[[11], [89]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a wine_glass', 'location': 'house'}"
8081819c-143c-4a53-8631-510112e2fc6d,Is there a chair and a desk in the house?,conjunction,yes,"[[14, 16, 13, 15, 12], [21, 22]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a desk', 'location': 'house'}"
2dddf62a-a580-446b-815b-76d7b822b55a,Is there a chair and a lamp in the house?,conjunction,yes,"[[14, 16, 13, 15, 12], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a lamp', 'location': 'house'}"
3988f449-cf0d-4484-9a6e-071ae382fdc6,Is there a chair and an ottoman in the house?,conjunction,yes,"[[14, 16, 13, 15, 12], [37]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'an ottoman', 'location': 'house'}"
572c0d4c-1f14-47a1-b954-f793e400a268,Is there a chair and a sofa in the house?,conjunction,yes,"[[14, 16, 13, 15, 12], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a sofa', 'location': 'house'}"
84060e0a-7c57-4dd3-9407-cba949387f34,Is there a chair and a table in the house?,conjunction,yes,"[[14, 16, 13, 15, 12], [74]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a table', 'location': 'house'}"
e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,Is there a cup and a wine glass in the house?,conjunction,yes,"[[20, 19], [89]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a wine_glass', 'location': 'house'}"
55537f91-e191-4927-a3f0-999229096690,Is there a desk and a lamp in the house?,conjunction,yes,"[[21, 22], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a lamp', 'location': 'house'}"
4718181a-3b2a-42ca-8591-08f2e7053c94,Is there a desk and a sofa in the house?,conjunction,yes,"[[21, 22], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a sofa', 'location': 'house'}"
3592a46c-6228-41df-9a8b-0025693dc9f8,Is there a desk and a table in the house?,conjunction,yes,"[[21, 22], [74]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a table', 'location': 'house'}"
10dbcfcd-2d95-4c86-b3aa-c8f643c86697,Is there a lamp and a sofa in the house?,conjunction,yes,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a sofa', 'location': 'house'}"
89033f8d-6610-4cfc-bfca-14f72fbdf190,Is there a lamp and a table in the house?,conjunction,yes,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [74]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a table', 'location': 'house'}"
4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,Is there an ottoman and a sofa in the house?,conjunction,yes,"[[37], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'an ottoman', 'entity2': 'a sofa', 'location': 'house'}"
e1aba439-e57d-4fb2-875c-75b60c3b9225,Is there a painting and a rubiks cube in the house?,conjunction,yes,"[[51, 52], [61, 59, 62, 60]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a painting', 'entity2': 'a rubiks_cube', 'location': 'house'}"
