question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.35130890052356023,0.3863874345549738,0.5083769633507853
colour_location,0.4583333333333333,0.4375,0.75
colour_object,0.4838709677419355,0.4838709677419355,0.8064516129032258
conjunction_colour,0.5227272727272727,0.5340909090909091,0.48863636363636365
conjunction_colour_location,0.5121951219512195,0.524390243902439,0.3780487804878049
conjunction_location,0.625,0.6607142857142857,0.5
conjunction_object,0.5,0.5208333333333334,0.6666666666666666
count_colour,0.14285714285714285,0.15178571428571427,0.16071428571428573
count_colour_location,0.12162162162162163,0.12837837837837837,0.16216216216216217
count_location,0.09375,0.11458333333333333,0.1875
count_object,0.08064516129032258,0.0967741935483871,0.12903225806451613
disjunction_colour,0.4318181818181818,0.45454545454545453,0.4090909090909091
disjunction_colour_location,0.35365853658536583,0.3902439024390244,0.2682926829268293
disjunction_location,0.4107142857142857,0.4107142857142857,0.39285714285714285
disjunction_object,0.5416666666666666,0.5416666666666666,0.4583333333333333
existence_colour,0.625,0.6428571428571429,0.7142857142857143
existence_colour_location,0.581081081081081,0.6081081081081081,0.5337837837837838
existence_location,0.6145833333333334,0.6145833333333334,0.625
existence_object,0.5806451612903226,0.5806451612903226,0.6290322580645161
location_colour,0.10714285714285714,0.17857142857142858,0.9464285714285714
location_object,0.25806451612903225,0.1935483870967742,1.0
spatial_colour,0.15625,0.22916666666666666,0.8020833333333334
spatial_colour_location,0.1652892561983471,0.3305785123966942,0.7107438016528925
spatial_location,0.14634146341463414,0.3048780487804878,0.7073170731707317
spatial_object,0.18032786885245902,0.26229508196721313,0.7049180327868853
