question_id,prediction
db48f173-2d80-4ddf-8239-69d2e42cfdf8,Yes.
3e199641-c3b0-404f-aa41-2b93c20fcd10,"Yes, there is a bag and a cup in the house."
a902598d-6d8c-4f38-be38-38939cd8fd8b,"No, there is no bag and a wine glass in the house. The image shows a living room with no evidence of a bag or a wine glass."
2338908e-1e11-4151-92f8-7c5b33b7546f,Yes.
3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,"No, there is a box but the items listed as 'wine glass' are actually doors."
8081819c-143c-4a53-8631-510112e2fc6d,"Yes, there is a chair and a desk in the house."
2dddf62a-a580-446b-815b-76d7b822b55a,Yes.
3988f449-cf0d-4484-9a6e-071ae382fdc6,"No, there is a chair but no ottoman visible in the image."
572c0d4c-1f14-47a1-b954-f793e400a268,"Yes, there is a chair and a sofa in the house."
84060e0a-7c57-4dd3-9407-cba949387f34,"Yes, there is a chair and a table in the house."
e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,Yes.
55537f91-e191-4927-a3f0-999229096690,"No, there is a desk in the house but it has no lamp on it."
4718181a-3b2a-42ca-8591-08f2e7053c94,"Yes, there is a desk and a sofa in the house."
3592a46c-6228-41df-9a8b-0025693dc9f8,"Yes, there is a desk and a table in the house."
10dbcfcd-2d95-4c86-b3aa-c8f643c86697,"No, there is no lamp visible in any of the images, and while there is a couch in the bottom-right image, it is not referred to as a sofa in the captions."
89033f8d-6610-4cfc-bfca-14f72fbdf190,Yes.
4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,"No, there is an ottoman but the images do not show a sofa."
e1aba439-e57d-4fb2-875c-75b60c3b9225,"No, there is a painting but no rubiks cube."
20967a93-0808-465d-b451-e19dd715b9b5,"Yes, there is a painting and a teddy bear in the house."
f3c6a4e4-85a2-41f2-909d-88bd48a6d200,"No, there is a teddy bear but no rubiks cube."
e94472f3-2bc4-4e46-8dba-4fe952c0d9f5,No.
9ecf4fe7-2f3b-4cef-873b-b8cd3bb0a5eb,"Yes, there is a teapot and a vase in the house."
a8227ec4-b17f-456c-a08d-17f16b7163de,"No, there is no teapot and wine bottle in the house."
7a0b86b4-c646-420f-be66-ebd17824c04a,"No, there is a vase but no wine bottle in the house."
43dd9d2d-5582-4536-9ee0-7ec3918de953,"No, there is a refrigerator but no dishwasher."
406545d9-14d4-47b1-89d8-47230a5d26a0,"No, there is no fruit bowl and kettle in the house."
07fa0291-7548-4877-bfc6-c399be249293,"No, there is no bed and lamp in the house."
be320969-d4db-43c5-9c05-a1abfcf18d79,Yes.
8b5db969-9f9c-44d2-be4f-cd576388d733,"No, there is no fish tank and a vase in the house."
fc24e07f-6095-4e84-acf6-e5ee0a3ae582,"No, there is no rug and a wardrobe cabinet in the house."
82e6d924-2b14-4ce5-b004-71992b80ad73,"No, there is no dishwasher and range oven in the house."
1af2d40f-1613-40f2-8ca1-326a459011b3,Yes.
c72a4939-4f2b-47a5-b51c-64648a9e7821,Yes.
ae943942-726c-4860-a9ce-4281f17d722e,Yes.
6b479eab-741c-43d5-9b97-5c516612fd7b,Yes.
603c58f7-ee9b-4e30-aada-5d72556da2ae,Yes.
f6a9ac90-e1d2-4b9f-87de-0650e09021ad,Yes.
29e39233-727d-44f0-aba5-76483cde3eb4,Yes.
619e5851-8435-4c0b-abe6-1271afc4fe2a,Yes.
9b40bf37-ee4f-42b2-8acd-27143bfa6e6e,No.
009b1a60-a2b4-4ce8-813a-e1d3c752fa92,Yes.
e657f653-7d2e-479b-82d3-af560942eb78,"No, there is no food processor and vacuum cleaner in the house."
46053249-d46a-4cd1-a287-f4d6dd464944,"No, there is no computer and mirror combination in the house."
4a29e6f9-c7e5-4346-bb9f-000c3459dc89,"No, there is no dresser and a sofa in the house."
afcdda7a-4d10-460e-9a6c-db8903e34778,No.
531fd005-4e4f-4190-8e6a-7629f4d9355f,"No, there is no bathtub and a teapot in the house."
03070289-baf3-4a2c-ba19-254794ba4445,Yes.
9918efdb-a857-448c-afc9-16abfc765683,No.
006acec2-754f-4d0b-a67a-09eadc39a2d5,"There is a clear glass on the coffee table in the top left photo, which could be used as a cup or for serving wine."
0215b6a5-675f-4123-8bdd-82f75b1763bc,There is a rug in the house.
2456d79d-82a5-477c-8f8d-2e4856178a3f,"No, there is no fish tank or vase visible in any of the images."
411947a2-b339-4603-a660-11767aeea030,There is a window in the house.
566432c4-53c4-471f-8b76-e00eadcd22b5,There is no bag or bathtub mentioned in the room description.
d23f2beb-541a-4762-b0c4-03b1f77d9da9,There is a chair in the house.
221a6ef4-25a6-465a-8d2f-a37b6b296886,"No, there is no cup or water dispenser visible in any of the images."
0ce8d470-d91a-4be7-b8dd-c6e43effb112,There is a rug in the house.
f7d42048-b940-46c3-8443-d2e212da6296,"No, there is neither a bathtub nor a teapot in the house."
4cfa5c56-9e8b-40a6-9268-097a13dcaa2f,There is a desk in the house.
e1dab541-ac23-4942-824e-b38097d08d6f,There is a table in the house.
d5b21bbe-177e-442f-9d68-a1b5b80bfd3d,"No, there is no cup or fruit bowl visible in the images provided."
51dd2422-b86f-41d9-a298-481ef8582191,"No, there is neither a lamp nor a wardrobe cabinet visible in the image."
3a0778ed-5e3d-426f-b1b0-5a1e202b2707,There is no evidence of a heater or a robot in the house based on the provided images.
e5c7d3d8-675a-4f6d-a1f7-67de26014e56,There is a wine bottle in the house.
328981a0-62b2-42ca-ada9-15d88f1853b6,There is no evidence of a bag or a heater in the house based on the provided images.
414fdc62-d29d-4461-9922-56bdf39a3db3,"Yes, there is a table in the house."
425577bb-09f5-41b0-992c-8d136d28198f,"Yes, there is a chair in the house. It is a blue office chair located in the right part of the image, next to a white desk with a computer monitor on it. There is no lamp visible in any of the images provided."
699ccbdc-3bab-4116-8e5a-9fabf95a62dd,"No, there is no dresser or sofa visible in any of the images."
cc75e70a-2e25-4911-839c-113712339d6c,There is no kettle or vase in the house.
862f5357-ba06-4e0a-8183-89a5fb420383,There is a desk in the house.
bcb826ea-013d-4341-a46a-b65cbcc0e614,"No, there is neither a lamp nor a sofa in the house."
00e1f807-9f25-4641-917d-1ee11b41ef9c,There is a rubiks cube in the house.
28822c61-9612-4a90-bd1c-b8e5189ca0a3,There is a chair in the house.
90e85297-770e-4f8c-9fe5-1e99e758b9a5,"No, there is no range oven or a vacuum cleaner in the house."
080170e4-a3e6-420d-936e-eaee4a00f291,"No, there is no shower or sink visible in any of the images."
baecab5e-6582-4bed-a74d-8788199db501,"No, there is no bathtub or fish tank visible in any of the images. The rooms shown are primarily office spaces and a kitchen, with no bathroom or aquariums present. Each room contains typical office furniture such as desks, chairs, and filing cabinets, along with kitchen appliances like a refrigerator and sink. The images do not include any leisure or personal care items that would suggest the presence of a bathtub or fish tank."
2258ced4-6707-4b3b-9b93-d759d9170f9c,Yes.
822d4bf3-7e21-4146-9c0c-91cf23abc85a,"No, there are no beds or dressing tables in the house."
1709fd96-8c92-4007-af68-dd17acb76d01,"No, there is no shower or toilet visible in the images provided."
a09424fb-f3d5-41b9-b0c7-9a4f09218edf,"Yes, there is a computer in the house."
2ebd4848-7c8a-4eca-901b-aeaf41057f06,"Yes, there is a refrigerator in the house."
21113a7f-431c-4a2f-92c4-3f0f9addfe39,"No, there is no vacuum cleaner or a washer visible in any of the images."
bc815732-e6e8-49a1-a630-c168578b0fcb,Yes.
0a2dc1cc-52c9-45ed-b710-e6a9b80188c4,"No, there is no fish tank or fruit bowl visible in any of the images."
6bca6b50-1b9b-42e5-9999-ce304c3c04df,"No, there is neither a coffee machine nor a food processor visible in any of the images."
b3e925bf-851f-4ec8-a046-31514e94f7f5,"No, there is neither a fruit bowl nor a water dispenser visible in any of the images."
b3d77a23-ca70-4c8c-acc0-2f5ed328671c,"No, there is no coffee machine or a vacuum cleaner in the house."
