question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.3413612565445026,0.3643979057591623,0.3842931937172775
colour_location,0.1875,0.16666666666666666,0.5
colour_object,0.25806451612903225,0.25806451612903225,0.9032258064516129
conjunction_colour,0.5340909090909091,0.5568181818181818,0.20454545454545456
conjunction_colour_location,0.6585365853658537,0.6707317073170732,0.2073170731707317
conjunction_location,0.48214285714285715,0.5,0.30357142857142855
conjunction_object,0.5,0.5208333333333334,0.4166666666666667
count_colour,0.125,0.13392857142857142,0.13392857142857142
count_colour_location,0.08108108108108109,0.0945945945945946,0.10135135135135136
count_location,0.10416666666666667,0.11458333333333333,0.09375
count_object,0.08064516129032258,0.11290322580645161,0.14516129032258066
disjunction_colour,0.5909090909090909,0.6022727272727273,0.2840909090909091
disjunction_colour_location,0.5609756097560976,0.573170731707317,0.32926829268292684
disjunction_location,0.5,0.5,0.375
disjunction_object,0.5833333333333334,0.6041666666666666,0.4375
existence_colour,0.5357142857142857,0.5892857142857143,0.33035714285714285
existence_colour_location,0.5405405405405406,0.5472972972972973,0.2635135135135135
existence_location,0.5416666666666666,0.5416666666666666,0.3645833333333333
existence_object,0.532258064516129,0.5645161290322581,0.3548387096774194
location_colour,0.125,0.08928571428571429,0.9464285714285714
location_object,0.0967741935483871,0.0967741935483871,0.9354838709677419
spatial_colour,0.17708333333333334,0.23958333333333334,0.75
spatial_colour_location,0.14049586776859505,0.23140495867768596,0.6859504132231405
spatial_location,0.14634146341463414,0.2073170731707317,0.7317073170731707
spatial_object,0.11475409836065574,0.14754098360655737,0.6229508196721312
