uid,filename,bbox_count,bbox_id,x1,y1,x2,y2,occlusion,label,object_id,wordnet_sense,location,colour,on,above,below,next_to
b2b43078-a345-4a33-ab33-14143f877ec2,0-0-0.jpg,6,0,712,46,800,97,none,cup,20,cup.n.01,office,['white'],[],[],[21],"[61, 9]"
35cf69e1-6e43-4cfe-8b60-244fe1a7ec2f,0-0-0.jpg,6,1,632,31,674,70,none,rubiks_cube,61,toy.n.01,office,"['blue', 'red', 'yellow', 'green', 'orange', 'white']",[],[],[21],"[9, 20, 77]"
d9915931-f7eb-48d5-856f-f3680c0af323,0-0-0.jpg,6,2,189,1,256,104,partial,wine_bottle,86,wine-bottle.n.01,office,['brown'],[],[],[21],"[77, 9]"
ff638a06-cdb4-470e-9e54-320fd4287f5f,0-0-0.jpg,6,3,393,0,498,69,partial,teddy_bear,77,teddy.n.01,office,['orange'],[],[],[21],"[9, 61, 86]"
d4a21533-3ad9-4d95-a223-566696ea64ee,0-0-0.jpg,6,4,455,65,630,113,none,book,9,book.n.02,office,['blue'],[],[],[21],"[20, 61, 77, 86]"
6ff89c59-d6ad-4524-8d13-a3f466a53f36,0-0-0.jpg,6,5,22,53,965,522,partial,desk,21,desk.n.01,office,['wooden'],"[86,77,61,9,20]","[82, 84]",[],[16]
3a447e6a-c537-4625-992a-b5e5cb684af7,0-0-1.jpg,8,0,232,197,285,387,none,wine_bottle,86,wine-bottle.n.01,office,['brown'],[],[],[21],"[77, 9]"
5e0fe3c9-5fa3-46b4-8830-74e5f1ba0505,0-0-1.jpg,8,1,414,255,503,355,none,teddy_bear,77,teddy.n.01,office,['orange'],[],[],[21],"[9, 61, 86]"
c51932c9-00ec-46c3-a57d-45d55f427276,0-0-1.jpg,8,2,626,324,663,355,none,rubiks_cube,61,toy.n.01,office,"['blue', 'red', 'yellow', 'green', 'orange', 'white']",[],[],[21],"[9, 20, 77]"
a879be87-52dd-451f-bd98-c513225b3a71,0-0-1.jpg,8,3,696,334,776,380,none,cup,20,cup.n.01,office,['white'],[],[],[21],"[61, 9]"
85f39d92-eea7-4d40-a2d7-a731163d252c,0-0-1.jpg,8,4,463,351,626,402,none,book,9,book.n.02,office,['blue'],[],[],[21],"[20, 61, 77, 86]"
3d53e197-e121-40b0-a33e-658d9ff5b7a1,0-0-1.jpg,8,5,602,1,782,257,partial,window,82,window.n.01,office,['transparent'],[],[],[21],[84]
d0269af9-72ca-4a22-ac0b-3ebebf0cd205,0-0-1.jpg,8,6,373,1,570,278,partial,window,84,window.n.01,office,['transparent'],[],[],[21],[82]
041cb12d-c29d-4de2-a7d9-a27ea6ddd4c4,0-0-1.jpg,8,7,62,340,935,519,partial,desk,21,desk.n.01,office,['wooden'],"[86,77,61,9,20]","[82, 84]",[],[16]
402505ba-7ccf-46ae-8d71-d7f047e16e11,0-0-2.jpg,2,0,371,202,571,520,partial,window,84,window.n.01,office,['transparent'],[],[],[21],[82]
abafa3be-c3b8-4a71-9b1e-9486daacf68b,0-0-2.jpg,2,1,591,184,789,521,partial,window,82,window.n.01,office,['transparent'],[],[],[21],[84]
