question,question_type,answer,ambiguous,object_ids,room_ids,uid,origin
Is there a gym in the house?,existence,no,False,[],[0],cefbb627-0738-48d2-9e5b-434c753d6017,template
Is there a patio in the house?,existence,no,False,[],[1],1775796f-f133-4e5b-a99d-885d54d0417c,template
Is there a lobby in the house?,existence,no,False,[],[2],9d95eb89-cea5-4283-83ea-ba3f4bc552e0,template
Is there an office in the house?,existence,yes,False,[],[3],c96647df-9884-42d1-a743-4182ba610301,template
Is there a garage in the house?,existence,no,False,[],[4],8d1573a9-049f-4929-bd73-196bfd89dbfa,template
Is there a kitchen in the house?,existence,no,False,[],[5],a89817c8-6534-4cb5-bf67-a2b610fdb0e1,template
Is there a dining room in the house?,existence,no,False,[],[6],d56860ce-7b71-4111-811b-140e56a32da0,template
Is there a living room in the house?,existence,yes,False,[],[7],8b4a2adc-b3fa-4bda-bf2d-abbd9b3f3192,template
Is there a bedroom in the house?,existence,no,False,[],[8],26734176-95ec-469a-b6cf-8891b1c632e4,template
Is there a bathroom in the house?,existence,no,False,[],[9],edec5e17-7f2c-42e7-aee7-78ca1da5a144,template
Is there an elevator in the house?,existence,no,False,[],[10],6ba54e23-6846-441d-92e1-ee743f75c61d,template
Is there a balcony in the house?,existence,no,False,[],[11],d8a60dec-1136-4e90-9d28-fb11794c997e,template
Is there a hallway in the house?,existence,yes,False,[],[12],17c4a1a8-c6de-49ab-879d-9dfc07f08c91,template
Is there an apple in the house?,existence,yes,False,"[1, 0]",[],e7184a54-5241-4696-9eba-9dbcdc411616,template
Is there a bag in the house?,existence,yes,False,"[5, 4, 2, 3, 6]",[],9e691564-de04-497d-ae8a-394268b8fee4,template
Is there a ball in the house?,existence,yes,False,"[8, 7]",[],a0f22bd3-29b5-43b5-963a-068c01f432c5,template
Is there a bathtub in the house?,existence,no,False,[],[],1f3bc548-a0fa-42b8-9ae2-bc5fd2feffec,template
Is there a bed in the house?,existence,no,False,[],[],d5fa2589-0318-4b50-a97a-927365fd24a6,template
Is there a book in the house?,existence,yes,False,"[9, 10]",[],783cca6f-628c-4778-a172-ece19df035e6,template
Is there a bookshelf in the house?,existence,yes,False,[17],[],22b11588-a4f7-446c-b9ba-9062f380a9f5,template
Is there a box in the house?,existence,yes,False,[11],[],d4926417-8354-4275-8465-fd95b92df025,template
Is there a chair in the house?,existence,yes,False,"[14, 16, 13, 15, 12]",[],04a4542d-7f20-472b-817d-47e04b108e5f,template
Is there a chessboard in the house?,existence,no,False,[],[],33b562d4-e090-42fe-8a78-1b369ec0bc4a,template
Is there a coffee machine in the house?,existence,no,False,[],[],9c28d3d7-9f3a-4288-ab35-7f02a1bec2cb,template
Is there a computer in the house?,existence,no,False,[],[],ecd7a63c-2dee-4ea6-b6f6-dbd1ad795132,template
Is there a cup in the house?,existence,yes,False,"[20, 19]",[],e7c814e3-82bb-45b7-9596-2faa3c39cf70,template
Is there a cutting board in the house?,existence,no,False,[],[],50b0eeb8-3d64-4a58-abce-b5beea68b4b2,template
Is there a desk in the house?,existence,yes,False,"[21, 22]",[],88163fca-2c3d-4862-8906-16c7d8f174cd,template
Is there a dishwasher in the house?,existence,no,False,[],[],0db97568-1784-414c-acde-8a4fb4fc495f,template
Is there a door in the house?,existence,yes,False,"[25, 29, 24, 28, 23, 27, 30, 26]",[],3631afc4-36d6-4ed9-8395-e0bec420dd9b,template
Is there a door handle in the house?,existence,yes,False,"[34, 31, 32, 33, 35, 36]",[],98ab3191-a905-4e6f-bf4e-c29e1941fa17,template
Is there a dresser in the house?,existence,no,False,[],[],b1274772-187e-4bb3-a71b-4229b70749fd,template
Is there a dressing table in the house?,existence,no,False,[],[],4a997101-dd5f-4777-8f26-9b08182249e0,template
Is there a dryer in the house?,existence,no,False,[],[],68069b0c-f117-4ed6-8509-76406e551179,template
Is there a fireplace in the house?,existence,no,False,[],[],c9a925a1-0745-4d35-98ee-d3b5709a89f6,template
Is there a fish tank in the house?,existence,no,False,[],[],e9e0c551-b2c5-423c-a231-8ba93ad67880,template
Is there a food processor in the house?,existence,no,False,[],[],77269068-1309-4030-acc3-c97e415835be,template
Is there a fruit bowl in the house?,existence,no,False,[],[],b4cc64a0-1faa-4b45-8d99-cd762678700e,template
Is there a game console in the house?,existence,no,False,[],[],a9e6b88b-2c18-4d71-8634-54d2ca4d3e8d,template
Is there a headphones in the house?,existence,yes,False,[38],[],f97d78da-f183-493a-9e6b-35d0b73be6d6,template
Is there a heater in the house?,existence,no,False,[],[],2d220663-cf69-4602-bb41-7695c19aeaec,template
Is there an ironing board in the house?,existence,no,False,[],[],cacc00d1-dec8-4733-ab7f-914b28f4c413,template
Is there a jacket in the house?,existence,yes,False,[39],[],f2fd1760-dd55-4e99-a06d-3972e1afc09e,template
Is there a kettle in the house?,existence,no,False,[],[],041d95c4-8484-4c94-8959-454963aa2fba,template
Is there a lamp in the house?,existence,yes,False,"[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]",[],650841b1-187d-418f-8439-5e8a12c25ac6,template
Is there a loudspeaker in the house?,existence,no,False,[],[],78074059-388d-4ec7-aa73-37f74bffdf5b,template
Is there a microwave in the house?,existence,no,False,[],[],8059106a-b8e5-4671-aba4-7a3ed703c713,template
Is there a mirror in the house?,existence,no,False,[],[],4e0214ee-1c55-4fbf-b9a1-dcf296f700d1,template
Is there a notice board in the house?,existence,yes,False,"[55, 53, 54]",[],9253feeb-cb2b-4abe-8434-1308c17bdf0d,template
Is there an ottoman in the house?,existence,yes,False,[37],[],7a5fa931-2556-4898-8360-154f8396b2c3,template
Is there a painting in the house?,existence,yes,False,"[51, 52]",[],37b6b0c1-2a88-4692-ba1a-a3ac52be4bc8,template
Is there a pan in the house?,existence,no,False,[],[],a1c3892d-6276-4a27-bc03-38e568ebfef2,template
Is there a piano in the house?,existence,no,False,[],[],1f52b066-83da-4794-be01-893ac39f4504,template
Is there a plates in the house?,existence,no,False,[],[],9ed0e1cc-87aa-4832-8a3b-7c0966f313b1,template
Is there a range oven in the house?,existence,no,False,[],[],f0ca129c-90df-4c44-abdb-967d9a1a0635,template
Is there a refrigerator in the house?,existence,no,False,[],[],9539db77-f024-4b7d-9c66-07983e585610,template
Is there a robot in the house?,existence,yes,False,"[58, 56, 57]",[],eea6df35-2994-4156-81ee-58eb27b6d536,template
Is there a rubiks cube in the house?,existence,yes,False,"[61, 59, 62, 60]",[],0e25127c-57e3-4017-a02e-ef5ea51636b2,template
Is there a rug in the house?,existence,no,False,[],[],23942fd7-5f19-4d39-8a27-cc389ded516c,template
