question,question_id,image
Is there a bag and a box in the house?,db48f173-2d80-4ddf-8239-69d2e42cfdf8,db48f173-2d80-4ddf-8239-69d2e42cfdf8_view.jpg
Is there a bag and a cup in the house?,3e199641-c3b0-404f-aa41-2b93c20fcd10,3e199641-c3b0-404f-aa41-2b93c20fcd10_view.jpg
Is there a bag and a wine glass in the house?,a902598d-6d8c-4f38-be38-38939cd8fd8b,a902598d-6d8c-4f38-be38-38939cd8fd8b_view.jpg
Is there a box and a cup in the house?,2338908e-1e11-4151-92f8-7c5b33b7546f,2338908e-1e11-4151-92f8-7c5b33b7546f_view.jpg
Is there a box and a wine glass in the house?,3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,3edbffe3-0ff4-4a0a-b356-9bfcba9863e0_view.jpg
Is there a chair and a desk in the house?,8081819c-143c-4a53-8631-510112e2fc6d,8081819c-143c-4a53-8631-510112e2fc6d_view.jpg
Is there a chair and a lamp in the house?,2dddf62a-a580-446b-815b-76d7b822b55a,2dddf62a-a580-446b-815b-76d7b822b55a_view.jpg
Is there a chair and an ottoman in the house?,3988f449-cf0d-4484-9a6e-071ae382fdc6,3988f449-cf0d-4484-9a6e-071ae382fdc6_view.jpg
Is there a chair and a sofa in the house?,572c0d4c-1f14-47a1-b954-f793e400a268,572c0d4c-1f14-47a1-b954-f793e400a268_view.jpg
Is there a chair and a table in the house?,84060e0a-7c57-4dd3-9407-cba949387f34,84060e0a-7c57-4dd3-9407-cba949387f34_view.jpg
Is there a cup and a wine glass in the house?,e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,e1676b0a-8a94-40b8-a47d-f2cd0d3c01da_view.jpg
Is there a desk and a lamp in the house?,55537f91-e191-4927-a3f0-999229096690,55537f91-e191-4927-a3f0-999229096690_view.jpg
Is there a desk and a sofa in the house?,4718181a-3b2a-42ca-8591-08f2e7053c94,4718181a-3b2a-42ca-8591-08f2e7053c94_view.jpg
Is there a desk and a table in the house?,3592a46c-6228-41df-9a8b-0025693dc9f8,3592a46c-6228-41df-9a8b-0025693dc9f8_view.jpg
Is there a lamp and a sofa in the house?,10dbcfcd-2d95-4c86-b3aa-c8f643c86697,10dbcfcd-2d95-4c86-b3aa-c8f643c86697_view.jpg
Is there a lamp and a table in the house?,89033f8d-6610-4cfc-bfca-14f72fbdf190,89033f8d-6610-4cfc-bfca-14f72fbdf190_view.jpg
Is there an ottoman and a sofa in the house?,4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43_view.jpg
Is there a painting and a rubiks cube in the house?,e1aba439-e57d-4fb2-875c-75b60c3b9225,e1aba439-e57d-4fb2-875c-75b60c3b9225_view.jpg
Is there a painting and a teddy bear in the house?,20967a93-0808-465d-b451-e19dd715b9b5,20967a93-0808-465d-b451-e19dd715b9b5_view.jpg
