question_id,prediction
db48f173-2d80-4ddf-8239-69d2e42cfdf8,"No, there is a bag but no boxes are visible in the house."
3e199641-c3b0-404f-aa41-2b93c20fcd10,"Yes, there is a bag and a cup in the house."
a902598d-6d8c-4f38-be38-38939cd8fd8b,"Yes, there is a bag and a wine glass in the house."
2338908e-1e11-4151-92f8-7c5b33b7546f,"Yes, there is a box and a cup in the house."
3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,"Yes, there is a box and a wine glass in the house."
8081819c-143c-4a53-8631-510112e2fc6d,"Yes, there is a chair and a desk in the house."
2dddf62a-a580-446b-815b-76d7b822b55a,"Yes, there is a chair and a lamp in the house."
3988f449-cf0d-4484-9a6e-071ae382fdc6,"Yes, there is a chair and an ottoman in the living room."
572c0d4c-1f14-47a1-b954-f793e400a268,"Yes, there is a chair and a sofa in the house."
84060e0a-7c57-4dd3-9407-cba949387f34,"Yes, there is a chair and a table in the house."
e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,"No, there is a cup but the item next to it in the bottom right image is a water bottle, not a wine glass."
55537f91-e191-4927-a3f0-999229096690,"Yes, there is a desk and a lamp in the house."
4718181a-3b2a-42ca-8591-08f2e7053c94,"Yes, there is a desk and a sofa in the house."
3592a46c-6228-41df-9a8b-0025693dc9f8,"Yes, there is a desk and a table in the house."
10dbcfcd-2d95-4c86-b3aa-c8f643c86697,"Yes, there is a lamp and a sofa in the house."
89033f8d-6610-4cfc-bfca-14f72fbdf190,"No, there is a table but no lamps are visible in the house."
4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,"No, there is a sofa but no ottoman visible in the house."
e1aba439-e57d-4fb2-875c-75b60c3b9225,"Yes, there is a painting and a rubiks cube in the house."
20967a93-0808-465d-b451-e19dd715b9b5,"Yes, there is a painting and a teddy bear in the house."
f3c6a4e4-85a2-41f2-909d-88bd48a6d200,Yes.
e94472f3-2bc4-4e46-8dba-4fe952c0d9f5,"Yes, there is a sofa and a table in the house."
9ecf4fe7-2f3b-4cef-873b-b8cd3bb0a5eb,"Yes, there is a teapot and a vase in the house."
a8227ec4-b17f-456c-a08d-17f16b7163de,"No, there is no teapot and wine bottle in the house."
7a0b86b4-c646-420f-be66-ebd17824c04a,"No, there is a vase but no wine bottle in the house."
43dd9d2d-5582-4536-9ee0-7ec3918de953,Yes.
406545d9-14d4-47b1-89d8-47230a5d26a0,"No, there is no fruit bowl and kettle in the house."
