question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.38534031413612563,0.41256544502617803,0.39633507853403144
colour_location,0.3125,0.3125,0.6041666666666666
colour_object,0.2903225806451613,0.3225806451612903,0.8064516129032258
conjunction_colour,0.6931818181818182,0.7159090909090909,0.2840909090909091
conjunction_colour_location,0.5365853658536586,0.573170731707317,0.0975609756097561
conjunction_location,0.5357142857142857,0.5357142857142857,0.2857142857142857
conjunction_object,0.6041666666666666,0.6458333333333334,0.4166666666666667
count_colour,0.11607142857142858,0.15178571428571427,0.14285714285714285
count_colour_location,0.12162162162162163,0.12837837837837837,0.10810810810810811
count_location,0.15625,0.14583333333333334,0.11458333333333333
count_object,0.11290322580645161,0.0967741935483871,0.16129032258064516
disjunction_colour,0.7045454545454546,0.7159090909090909,0.26136363636363635
disjunction_colour_location,0.524390243902439,0.524390243902439,0.24390243902439024
disjunction_location,0.5892857142857143,0.5892857142857143,0.4642857142857143
disjunction_object,0.5625,0.5625,0.3541666666666667
existence_colour,0.5446428571428571,0.5892857142857143,0.25892857142857145
existence_colour_location,0.5878378378378378,0.6216216216216216,0.3581081081081081
existence_location,0.6145833333333334,0.6145833333333334,0.46875
existence_object,0.5806451612903226,0.5806451612903226,0.43548387096774194
location_colour,0.08928571428571429,0.10714285714285714,0.8928571428571429
location_object,0.12903225806451613,0.16129032258064516,1.0
spatial_colour,0.20833333333333334,0.2604166666666667,0.75
spatial_colour_location,0.23140495867768596,0.30578512396694213,0.6942148760330579
spatial_location,0.2073170731707317,0.3048780487804878,0.6951219512195121
spatial_object,0.21311475409836064,0.3114754098360656,0.7704918032786885
