question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.3717277486910995,0.4130890052356021,0.5167539267015707
colour_location,0.4583333333333333,0.4375,0.7708333333333334
colour_object,0.5483870967741935,0.6129032258064516,0.8709677419354839
conjunction_colour,0.5909090909090909,0.6136363636363636,0.45454545454545453
conjunction_colour_location,0.5487804878048781,0.5487804878048781,0.4268292682926829
conjunction_location,0.6607142857142857,0.6785714285714286,0.5178571428571429
conjunction_object,0.5416666666666666,0.5625,0.7291666666666666
count_colour,0.026785714285714284,0.0625,0.10714285714285714
count_colour_location,0.08108108108108109,0.10810810810810811,0.12162162162162163
count_location,0.07291666666666667,0.07291666666666667,0.16666666666666666
count_object,0.08064516129032258,0.0967741935483871,0.1935483870967742
disjunction_colour,0.48863636363636365,0.5340909090909091,0.4431818181818182
disjunction_colour_location,0.5,0.5,0.4268292682926829
disjunction_location,0.4642857142857143,0.4642857142857143,0.4642857142857143
disjunction_object,0.3958333333333333,0.3958333333333333,0.3958333333333333
existence_colour,0.6071428571428571,0.6428571428571429,0.6517857142857143
existence_colour_location,0.6283783783783784,0.6418918918918919,0.5540540540540541
existence_location,0.6875,0.6875,0.6875
existence_object,0.4838709677419355,0.5161290322580645,0.6451612903225806
location_colour,0.23214285714285715,0.25,0.9642857142857143
location_object,0.41935483870967744,0.41935483870967744,1.0
spatial_colour,0.21875,0.3333333333333333,0.6979166666666666
spatial_colour_location,0.2066115702479339,0.38016528925619836,0.7272727272727273
spatial_location,0.17073170731707318,0.2926829268292683,0.7439024390243902
spatial_object,0.19672131147540983,0.36065573770491804,0.7377049180327869
